Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,cement per water,Cement Impurity Factor,Cement Moisture Factor,Strength
310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,1.6145833333333333,-1.4949731532908723,,14.99
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,1.978576364892882,14.926196089158053,1.978576364892882,72.99
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,2.198908429351122,7.749159924263114,,35.3
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,2.360215053763441,5.00533878212005,2.360215053763441,73.3
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,0.7906976744186046,8.589053998878176,0.7906976744186046,29.07
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,1.6145833333333333,-13.681347141253005,,11.85
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,1.724198250728863,-1.6175412194711525,1.724198250728863,22.95
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,1.1764705882352942,7.632014107945618,1.1764705882352942,31.54
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,1.2902530963920302,-3.367875846562104,1.2902530963920302,39.44
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,1.1748547279450607,5.712003952736736,,24.45
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,0.7374301675977654,3.7713244510912327,0.7374301675977654,33.3
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,1.8177083333333333,-13.287687468127931,1.8177083333333333,32.72
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,1.875,-4.80510951935044,1.875,37.43
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,2.753086419753086,-1.0233407318461325,,39.3
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,1.7234770704996578,-2.4821340527476483,,44.14
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,1.3621621621621622,-7.156858417756031,1.3621621621621622,19.69
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,1.8735632183908049,-4.56597034999581,,61.23
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,1.3809831824062095,-1.279508239707417,,59.3
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,1.3333333333333333,4.893410310726943,1.3333333333333333,49.19
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,2.3380952380952382,-11.062397847714688,,55.55
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,1.3810725552050471,11.609148862360334,,37.27
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,0.7181818181818181,6.563857449578912,,8.54
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,2.807133421400264,-12.85986587648982,,64.9
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,0.9410764872521246,0.6549931150905804,,10.76
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,1.7551820728291316,5.201609423669288,,40.93
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,0.7989690721649485,2.232172206162714,0.7989690721649485,28.99
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,2.442786069651741,7.409420380253131,2.442786069651741,57.92
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,1.3336870026525198,-3.0825087748940816,,13.12
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,2.1724137931034484,-4.795141163552177,,81.75
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100,1.3810725552050471,7.674166608681655,,46.23
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,1.1763727121464225,-7.502600319320982,,20.92
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,0.9010416666666666,13.571650946320306,,32.1
451.0,0.0,0.0,165.0,11.3,1030.0,745.0,28,2.7333333333333334,-4.206040173446088,,78.8
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,0.7948717948717949,-0.3816908491358388,0.7948717948717949,29.07
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,2.0597738287560583,3.831838605971135,,37.44
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,2.0698924731182795,14.16640508508408,,31.35
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,1.6666666666666667,-7.264192604169687,,40.56
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,1.5865921787709498,6.011096986974312,,43.73
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,2.198908429351122,-7.7974533618185715,,77.3
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,2.7259158751696067,3.232406854516307,,54.1
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,1.5913978494623655,8.114960520145043,,25.18
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,1.1754169240271772,-6.182601716300574,,28.47
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,2.6723783413296776,-6.85726045133026,2.6723783413296776,82.6
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,1.1767418032786885,4.039898231843657,1.1767418032786885,31.35
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,0.7307485191168551,6.635244649467913,,7.51
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,2.461051298290057,-7.116115437004186,2.461051298290057,57.6
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,1.978576364892882,3.7887394450814527,,67.7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,2.768729641693811,-2.39205880372694,2.768729641693811,33.4
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,1.5052083333333333,-19.773156001018314,1.5052083333333333,14.6
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,1.328125,4.238433423322262,1.328125,21.86
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,1.353658536585366,-9.266917513540342,,33.8
