School Year,Topic,Grade,District,Proficient,Total
2025,Reading,5,3029,37.0,61.0
2021,Math,11,6741,56.0,73.0
2023,Math,3,981,105.0,122.0
2025,Math,8,27,109.0,120.0
2016,Math,4,4572,18.0,23.0
2022,Math,6,4203,51.0,57.0
2020,Reading,4,4271,70.0,86.0
2019,Math,8,3537,17.0,23.0
2017,Reading,8,1071,99.0,137.0
2022,Reading,5,5742,55.0,67.0
2025,Math,6,355,11.0,12.0
2022,Math,4,5310,21.0,23.0
2017,Reading,7,6937,30.0,49.0
2019,Math,3,5724,19.0,21.0
2020,Reading,5,6921,26.0,28.0
2023,Reading,11,2007,58.0,69.0
2024,Math,3,4784,169.0,190.0
2019,Math,11,6096,36.0,46.0
2021,Math,4,4878,40.0,44.0
2019,Reading,11,423,19.0,22.0
2025,Reading,3,6460,41.0,44.0
2021,Math,8,1975,19.0,24.0
2017,Math,6,2826,84.0,97.0
2023,Reading,8,5463,49.0,75.0
2024,Math,4,6408,56.0,74.0
2025,Math,4,4068,24.0,28.0
2023,Math,6,3168,32.0,42.0
2014,Math,8,3420,41.0,61.0
2015,Reading,8,5283,52.0,74.0
2020,Math,8,1611,623.0,930.0
2020,Reading,4,1359,33.0,35.0
2025,Math,5,4772,31.0,33.0
2023,Math,3,3204,56.0,66.0
2014,Math,8,63,37.0,49.0
2024,Math,4,1989,25.0,38.0
2016,Math,8,6091,36.0,51.0
2018,Math,6,6101,278.0,352.0
2020,Math,4,4751,15.0,15.0
2024,Reading,6,4869,39.0,72.0
2025,Reading,5,2403,40.0,54.0
2014,Math,4,4779,61.0,68.0
2019,Reading,6,1206,57.0,68.0
2014,Math,4,7047,18.0,24.0
2023,Math,3,4772,34.0,38.0
2024,Math,7,3105,82.0,101.0
2018,Math,11,4437,34.0,43.0
2021,Math,11,4131,194.0,255.0
2021,Math,4,7002,13.0,14.0
2016,Math,11,2766,20.0,26.0
2024,Reading,7,7110,31.0,48.0
2023,Math,8,621,274.0,342.0
2021,Reading,8,5697,24.0,34.0
2017,Reading,6,540,40.0,56.0
2019,Math,5,5049,242.0,313.0
2023,Math,11,916,14.0,16.0
2025,Math,8,1611,649.0,1026.0
2017,Reading,8,4869,67.0,110.0
2016,Math,8,5486,19.0,27.0
2016,Reading,11,4518,15.0,17.0
2024,Math,7,1602,29.0,35.0
2019,Reading,8,1082,71.0,92.0
2025,Math,10,1278,213.0,258.0
2015,Reading,11,4772,21.0,32.0
2017,Reading,11,7056,92.0,123.0
2019,Reading,6,4662,48.0,75.0
2018,Reading,3,472,82.0,101.0
2018,Math,11,5121,43.0,49.0
2017,Math,6,4572,13.0,20.0
2017,Math,6,1431,39.0,44.0
2021,Reading,11,1197,54.0,67.0
2023,Reading,3,5139,9.0,11.0
2017,Math,3,7038,38.0,51.0
2025,Math,11,225,272.0,297.0
2019,Reading,7,720,48.0,73.0
2019,Reading,3,5832,21.0,21.0
2023,Math,3,3195,60.0,72.0
2024,Math,8,1619,79.0,92.0
2024,Reading,4,6937,44.0,54.0
2015,Math,4,1975,33.0,35.0
2024,Math,5,5013,114.0,154.0
2020,Math,5,720,78.0,95.0
2018,Reading,3,6516,13.0,14.0
2018,Reading,6,270,43.0,53.0
2025,Math,10,1503,103.0,117.0
2025,Math,4,3312,89.0,111.0
2021,Reading,8,3744,36.0,44.0
2024,Math,7,1221,78.0,103.0
2018,Math,4,2682,25.0,28.0
2024,Reading,3,3060,59.0,74.0
2019,Math,8,3204,49.0,65.0
2017,Math,5,472,76.0,91.0
2014,Reading,4,6961,147.0,177.0
2017,Math,8,5337,24.0,30.0
2022,Reading,4,1368,34.0,51.0
2019,Math,5,4785,38.0,44.0
2023,Reading,6,1602,24.0,32.0
2018,Math,4,5625,34.0,38.0
2017,Math,8,4978,15.0,20.0
2019,Reading,3,720,69.0,82.0
2021,Reading,8,3154,33.0,56.0
2024,Math,4,4068,20.0,26.0
2024,Reading,4,6985,47.0,69.0
2025,Reading,8,1215,11.0,18.0
2019,Reading,6,6950,52.0,78.0
2020,Math,7,6453,47.0,53.0
2023,Math,6,2766,12.0,19.0
2025,Reading,5,1944,37.0,52.0
2025,Reading,10,6768,93.0,113.0
2020,Math,11,6512,24.0,30.0
2020,Reading,4,6534,51.0,56.0
2019,Math,7,1116,81.0,114.0
2022,Math,6,5805,59.0,87.0
2024,Reading,7,2151,13.0,25.0
2020,Reading,7,6039,569.0,911.0
2023,Math,6,6039,539.0,918.0
2017,Reading,8,2169,117.0,157.0
2015,Math,11,6408,53.0,72.0
2015,Reading,8,2369,19.0,32.0
2016,Math,4,3375,108.0,121.0
2018,Reading,6,1737,1017.0,1930.0
2019,Math,3,609,94.0,114.0
2017,Math,5,6165,17.0,20.0
2022,Reading,5,6990,32.0,45.0
2022,Reading,3,3154,33.0,45.0
2019,Reading,8,4784,156.0,207.0
2017,Math,3,4751,14.0,15.0
2025,Math,6,513,22.0,29.0
2019,Reading,7,4446,67.0,80.0
2024,Math,7,5256,45.0,58.0
2022,Reading,4,6100,24.0,28.0
2023,Math,7,7047,27.0,37.0
2014,Math,11,7110,35.0,56.0
2014,Math,4,3978,18.0,20.0
2022,Reading,8,4149,77.0,85.0
2025,Reading,3,2988,37.0,48.0
2023,Math,5,4581,271.0,347.0
2021,Reading,5,1863,572.0,719.0
2025,Reading,11,4122,29.0,37.0
2015,Math,11,4784,204.0,247.0
2024,Reading,4,135,74.0,95.0
2023,Math,7,6099,33.0,40.0
2025,Math,11,5976,54.0,65.0
2019,Math,5,6094,28.0,33.0
2014,Reading,11,3555,41.0,47.0
2018,Reading,4,4491,12.0,14.0
2025,Math,6,6990,38.0,56.0
2014,Math,11,729,153.0,198.0
2019,Math,11,918,29.0,31.0
2014,Math,8,1215,18.0,26.0
2022,Reading,5,2007,35.0,42.0
2022,Reading,4,171,26.0,38.0
2017,Reading,6,1062,82.0,98.0
2019,Math,3,4995,52.0,63.0
2018,Math,4,3942,34.0,43.0
2025,Math,4,873,28.0,29.0
2025,Reading,11,4437,29.0,34.0
2025,Math,3,4725,175.0,201.0
2025,Math,4,6471,20.0,24.0
2020,Math,11,2664,38.0,48.0
2023,Math,11,5250,251.0,266.0
2025,Reading,4,3168,38.0,49.0
2020,Reading,5,5486,22.0,29.0
2017,Reading,4,27,82.0,95.0
2022,Math,7,549,37.0,42.0
2020,Math,11,6408,53.0,66.0
2023,Math,4,4662,58.0,62.0
2022,Reading,5,916,11.0,16.0
2024,Math,5,6615,47.0,51.0
2023,Reading,8,6840,116.0,148.0
2023,Math,8,2466,93.0,95.0
2024,Math,4,6561,19.0,24.0
2017,Math,6,4043,53.0,64.0
2018,Math,8,3119,54.0,67.0
2017,Reading,3,6273,35.0,44.0
2022,Reading,8,4775,14.0,17.0
2020,Math,6,6961,161.0,191.0
2020,Reading,5,609,81.0,97.0
2020,Reading,3,2376,28.0,32.0
2018,Reading,3,1638,92.0,104.0
2022,Math,4,1953,36.0,46.0
2018,Math,8,4860,21.0,23.0
2020,Math,8,6003,24.0,25.0
2025,Math,8,2169,91.0,112.0
2017,Reading,5,504,31.0,37.0
2020,Reading,3,4785,31.0,36.0
2022,Math,7,4104,238.0,355.0
2023,Reading,3,1218,20.0,23.0
