feature,importance,importance_std
cont__classifier__learning_rate,0.4109309627989182,0.04286745694901537
cat__tamer__remediation_mad_replace,0.2156354542039541,0.028914692589197755
cat__tamer__remediation_cluster_local_median,0.19326512809528162,0.035900122793149
cat__balancer_FunctionSampler,0.16321676439546046,0.028534245871769438
cat__classifier__penalty_absent,0.12609551910709588,0.016967817775119996
cat___family_stacker,0.07325114558521259,0.0044574843988734155
cont__tamer__mad_threshold,0.02533687611846147,0.0024793394003968846
cat__selector_SelectKBestFilter(k=10),0.020549869800846665,0.0039367738497249755
cont__classifier__n_estimators,0.01986395703713214,0.002731933027754854
cat__selector_TreeBasedSelection,0.01758753695542271,0.0030049130935276575
cont__classifier__estimator__xgb__learning_rate,0.008669980523120175,0.0013530164666998616
cat__classifier__max_features_absent,0.007806250173082585,0.001523067878996531
cont__tamer__contamination,0.0072853126566492345,0.0010704297893287232
cat__tamer__remediation_none,0.006324674489121379,0.0014645088522371175
cont__classifier__max_depth,0.006320641384262721,0.0005795267382317919
cont__classifier__reg_alpha,0.005677289463681512,0.0006210901293843707
cont__classifier__colsample_bytree,0.005476554192547933,0.0005625498491718931
cont__classifier__reg_lambda,0.0050590701461144085,0.0008001310061228439
cont__classifier__C,0.004952695083092251,0.000713058569160004
cont__classifier__scale_pos_weight,0.004653616618203338,0.00046340971339641184
cont__classifier__num_leaves,0.003956922922663975,0.0005482015426181245
cont__classifier__subsample,0.0038511599466498404,0.0006526282107679542
cat__imputer_ClassMeanImputer,0.003621579317489709,0.001213378856389013
cont__classifier__min_child_samples,0.0035945725698880273,0.0004992018642847128
cat__selector_SelectKBestFilter(k=40),0.0031997974762425383,0.0006356114295621271
cont__classifier__estimator__xgb__max_depth,0.002379071770950586,0.0003567250663860315
cont__classifier__min_child_weight,0.0019504336995315396,0.0003300235439996358
cont__classifier__iterations,0.0019054461409893698,0.0003758494247710863
cat__classifier__max_features_sqrt,0.0017090226791526108,0.00025056762601225884
cont__classifier__estimator__xgb__scale_pos_weight,0.0015178802916810008,0.00015881508550605515
cat__imputer_MeanImputer,0.0014546163174113224,0.00026606776322252076
cont__classifier__min_samples_leaf,0.0013025492694033025,0.00013840078777642886
cat__selector_SelectKBestFilter(k=30),0.0010374536057644102,0.00016314612005844092
cat__imputer_KNNImputerWrapper(n_neighbors=5),0.0009020625981422059,0.00021136565141056303
cat__balancer_SMOTESampler(k_neighbors=3),0.000894882422278237,0.00021859089179231318
cat__tamer__remediation_percentile_clip,0.0007295457348164835,0.00010227981645353365
cat___family_rf,0.0007262781024986398,0.00011181334944748888
cont__classifier__l2_leaf_reg,0.0006380279954356916,0.00013154221476813793
cat__imputer_InterpolateImputer,0.0005208250190075036,0.00011636705117896086
cat__balancer_SMOTESampler(k_neighbors=5),0.0005019016366358042,0.00010546933278443674
cat___family_lr,0.0004751812995476945,8.405862188996199e-05
cat__normalizer_RobustScalerNorm,0.00047389384713025784,9.558074359350502e-05
cat__tamer__detector_cluster,0.0003797257602296433,8.453801593844694e-05
cat__tamer__remediation_shrink,0.0003708177189889972,0.0001021002394900927
cat__tamer__remediation_winsorize,0.0003353634648678661,7.667141223589523e-05
cat__imputer_IterativeModelImputer,0.0003093856057677591,7.733727450081869e-05
cat__tamer__detector_statistical,0.000275998600149735,3.5692495696069406e-05
cat__classifier__max_features_log2,0.00025412505842903885,6.938001022909561e-05
cat__selector_SelectKBestFilter(k=20),0.00022719216074828518,8.347959040958294e-05
cat___family_lgbm,0.00021772776160726702,4.0769964640332086e-05
cat__tamer__detector_iforest,0.00019297980890632948,3.3510619217791465e-05
cat__balancer_BorderlineSMOTESampler(k_neighbors=3),0.0001716900626638762,2.9186642104304187e-05
cat___family_catboost,0.00014119097401564805,4.539015491128799e-05
cat___family_xgb,8.557744218126161e-05,1.764010234158995e-05
cont__classifier__depth,7.0245269530389e-05,1.5827059342807838e-05
cat__classifier__penalty_l2,3.625901379856744e-05,7.756731607210206e-06
cat__normalizer_ZScoreNormalizationNorm,3.310126855069484e-05,1.0683924437968445e-05
cat__classifier__max_features_0.5,1.193880282506221e-05,4.44868911715904e-06
cat__classifier__penalty_l1,1.1859685377763052e-05,4.193807648932346e-06
