imputer,normalizer,tamer__detector,tamer__remediation,selector,balancer,classifier__max_features,classifier__penalty,_family,tamer__contamination,tamer__mad_threshold,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,classifier__colsample_bytree,classifier__min_child_weight,classifier__min_child_samples,classifier__reg_alpha,classifier__reg_lambda,classifier__scale_pos_weight,classifier__num_leaves,classifier__min_samples_leaf,classifier__iterations,classifier__depth,classifier__l2_leaf_reg,classifier__C,classifier__estimator__xgb__learning_rate,classifier__estimator__xgb__max_depth,classifier__estimator__xgb__scale_pos_weight,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,range_pr_auc,cv_pr_auc,uncertainty_aware_score,brier_mean,recall_at_spec90_mean
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,iforest,shrink,SelectKBestFilter(k=20),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.017308626575886044,2.3674792549454415,0.016236046165317316,11.0,126.0,0.8613011239993278,0.5348103198894097,12.0,,0.002269278752676838,0.10347779689878642,9.238533665507816,,,,,,,,,,0.23881534738148283,0.019178064896955727,0.7018385868481805,0.015991619172792647,0.055972803055511694,0.08030499340698045,0.22922631493300497,,
IterativeModelImputer,RobustScalerNorm,iforest,mad_replace,SelectKBestFilter(k=10),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.03854465238600047,2.670229295955927,0.05463642015934537,9.0,333.0,0.9521269820341016,0.8419374188963815,27.0,,0.024837040528698836,0.28249762844686366,7.30312628827239,,,,,,,,,,0.18870599220957793,0.015414652316507635,0.6477088477796283,0.016319415426265572,0.04600562648222967,0.08168607756444764,0.18099866605132411,,
IterativeModelImputer,ZScoreNormalizationNorm,iforest,mad_replace,SelectKBestFilter(k=30),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.005463177020702676,3.0055773934647387,0.012684729068059923,3.0,952.0,0.9109792041335418,0.6738353959699224,7.0,,2.4562276939551966,0.43695413555275625,2.448607370335588,,,,,,,,,,0.2105514344501609,0.01543895064246663,0.6853055623433886,0.011328976457547211,0.045683422543299074,0.07332626672805284,0.20283195912892757,,
IterativeModelImputer,RobustScalerNorm,statistical,winsorize,SelectKBestFilter(k=10),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.10007343967182925,3.4961823308821343,0.11598157060224928,9.0,174.0,0.7870066069937882,0.8891337491828115,2.0,,0.021348412848947847,5.323294716289609,5.977567963026952,,,,,,,,,,0.20899286798600875,0.01867214487980877,0.6376606492526595,0.014067186363752334,0.05475915562580544,0.08934345492143203,0.19965679554610435,,
IterativeModelImputer,RobustScalerNorm,statistical,shrink,SelectKBestFilter(k=40),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.010874360777341236,2.8112694495091035,0.035993584844514606,9.0,107.0,0.9748107327238845,0.874249601160203,6.0,,0.018457165276857906,1.3426338966910483,3.2234127575091778,,,,,,,,,,0.21840819999069722,0.009874673911745483,0.6809414728918955,0.01734883633033887,0.023906788450682143,0.04521201086848425,0.2134708630348245,,
IterativeModelImputer,RobustScalerNorm,statistical,winsorize,TreeBasedSelection,SMOTESampler(k_neighbors=3),absent,absent,xgb,0.025438360181032665,3.77899058022937,0.17055812318989266,7.0,868.0,0.5811177503211706,0.5085901968554356,45.0,,0.008753789103862755,0.3846106300126301,1.7597972740470749,,,,,,,,,,0.2016189827312298,0.006083412351448424,0.6557398112839508,0.009407866372884289,0.018825581149239323,0.030172815421641016,0.19857727655550558,,
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,iforest,winsorize,SelectKBestFilter(k=40),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.13161992329146793,2.5473593477019367,0.02818660894776477,11.0,837.0,0.9617991835923938,0.9779179449870432,24.0,,1.1398315795852432,1.9888996020836578,2.7654564246923647,,,,,,,,,,0.22988963556325817,0.010121343180848093,0.6935980373873845,0.015613588867270782,0.03083108158570269,0.04402696605286073,0.2248289639728341,,
ClassMeanImputer,RobustScalerNorm,cluster,percentile_clip,SelectKBestFilter(k=20),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.06347623661875154,2.902495996054107,0.024736462928470627,11.0,156.0,0.5684772064395809,0.957643916667313,2.0,,0.23663482653895482,0.20048064528006432,4.718506226328556,,,,,,,,,,0.2111151005691289,0.011444991625842038,0.670127001249676,0.01666545861912483,0.029027978213465117,0.05421209375827862,0.20539260475620788,,
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,cluster,percentile_clip,TreeBasedSelection,FunctionSampler,absent,absent,xgb,0.012079906741284086,2.432612930670656,0.09902082673965637,7.0,903.0,0.8226563851346749,0.8111714780442342,28.0,,4.483150007491824,2.9045262231390967,6.329943047951016,,,,,,,,,,0.23231616312628445,0.00647648560787661,0.6782621669228182,0.012181679502199273,0.018483377618402408,0.027877895023412837,0.22907792032234614,,
MeanImputer,RobustScalerNorm,iforest,mad_replace,TreeBasedSelection,SMOTESampler(k_neighbors=3),absent,absent,xgb,0.03277759219089208,3.63972495093119,0.0886030730681788,5.0,710.0,0.8319616015201499,0.766292411505064,3.0,,0.4481243527853089,0.1370705297138596,2.9570354634402016,,,,,,,,,,0.21209578022289435,0.013758396574345341,0.6604792964839739,0.01771648958599589,0.03795736428232502,0.06486878975096277,0.20521658193572168,,
