iter	Passed	Remaining
0	59	59683
1	69	34656
2	78	26126
3	87	21663
4	95	19035
5	103	17195
6	112	15979
7	120	14999
8	128	14123
9	136	13488
10	144	13015
11	152	12587
12	161	12225
13	169	11907
14	177	11647
15	186	11500
16	196	11374
17	204	11167
18	212	10965
19	220	10806
20	230	10733
21	239	10650
22	248	10547
23	256	10418
24	262	10244
25	269	10090
26	275	9934
27	282	9823
28	292	9778
29	299	9695
30	307	9609
31	314	9515
32	321	9432
33	329	9353
34	337	9300
35	344	9231
36	352	9187
37	361	9147
38	369	9095
39	377	9055
40	384	8982
41	390	8909
42	398	8865
43	407	8843
44	413	8769
45	419	8700
46	425	8628
47	430	8541
48	435	8446
49	440	8363
50	445	8286
51	449	8201
52	454	8116
53	458	8039
54	465	7991
55	470	7932
56	476	7880
57	482	7835
58	488	7785
59	494	7748
60	499	7686
61	503	7618
62	509	7571
63	514	7520
64	519	7469
65	524	7423
66	530	7392
67	535	7333
68	540	7295
69	546	7255
70	551	7212
71	556	7171
72	561	7127
73	565	7076
74	570	7034
75	576	7005
76	580	6961
77	584	6910
78	589	6875
79	593	6829
80	597	6782
81	602	6749
82	608	6720
83	613	6684
84	617	6646
85	623	6623
86	627	6582
87	631	6547
88	635	6509
89	640	6478
90	645	6444
91	649	6409
92	654	6381
93	660	6361
94	665	6341
95	671	6321
96	676	6294
97	680	6262
98	684	6230
99	689	6209
100	694	6180
101	698	6147
102	703	6123
103	707	6095
104	711	6064
105	715	6036
106	720	6012
107	724	5985
108	729	5959
109	733	5938
110	739	5919
111	743	5892
112	747	5867
113	752	5850
114	756	5825
115	761	5800
116	765	5779
117	771	5765
118	775	5741
119	779	5719
120	785	5709
121	791	5693
122	795	5673
123	801	5661
124	807	5653
125	813	5641
126	819	5631
127	824	5618
128	831	5612
129	838	5609
130	844	5603
131	851	5595
132	858	5598
133	865	5593
134	872	5590
135	879	5584
136	885	5576
137	889	5559
138	894	5543
139	900	5531
140	905	5516
141	910	5504
142	915	5489
143	920	5471
144	924	5453
145	929	5436
146	933	5417
147	937	5397
148	941	5378
149	946	5363
150	952	5358
151	962	5369
152	970	5374
153	977	5370
154	985	5372
155	993	5376
156	1001	5375
157	1008	5374
158	1016	5376
159	1023	5371
160	1027	5356
161	1032	5340
162	1036	5322
163	1041	5307
164	1047	5303
165	1054	5297
166	1059	5287
167	1065	5275
168	1069	5259
169	1073	5240
170	1078	5227
171	1082	5210
172	1085	5190
173	1090	5174
174	1095	5166
175	1100	5150
176	1104	5133
177	1108	5118
178	1112	5102
179	1116	5086
180	1120	5071
181	1125	5056
182	1129	5042
183	1133	5026
184	1136	5008
185	1141	4994
186	1145	4981
187	1150	4967
188	1154	4954
189	1159	4942
190	1163	4929
191	1167	4913
192	1172	4903
193	1177	4893
194	1181	4878
195	1186	4865
196	1191	4856
197	1195	4842
198	1199	4827
199	1204	4816
200	1209	4808
201	1213	4794
202	1217	4781
203	1222	4768
204	1226	4756
205	1230	4744
206	1234	4729
207	1239	4718
208	1244	4708
209	1248	4696
210	1253	4687
211	1258	4677
212	1264	4670
213	1269	4662
214	1276	4659
215	1281	4651
216	1287	4644
217	1293	4638
218	1297	4626
219	1302	4617
220	1307	4607
221	1311	4596
222	1315	4584
223	1321	4578
224	1327	4573
225	1333	4567
226	1339	4562
227	1346	4559
228	1353	4556
229	1360	4555
230	1368	4555
231	1376	4555
232	1383	4554
233	1391	4555
234	1399	4554
235	1407	4555
236	1414	4553
237	1421	4551
238	1428	4547
239	1433	4540
240	1439	4534
241	1444	4523
242	1449	4516
243	1455	4510
244	1461	4504
245	1468	4502
246	1475	4498
247	1482	4495
248	1489	4491
249	1495	4486
250	1502	4484
251	1510	4483
252	1518	4482
253	1525	4479
254	1532	4476
255	1539	4473
256	1545	4468
257	1551	4463
258	1557	4455
259	1561	4445
260	1567	4438
261	1572	4429
262	1577	4420
263	1582	4411
264	1587	4402
265	1591	4392
266	1597	4386
267	1603	4380
268	1610	4375
269	1617	4374
270	1624	4368
271	1631	4365
272	1638	4362
273	1644	4357
274	1651	4353
275	1657	4348
276	1665	4346
277	1671	4341
278	1678	4337
279	1685	4333
280	1690	4325
281	1696	4319
282	1701	4311
283	1706	4302
284	1711	4294
285	1715	4283
286	1719	4272
287	1723	4261
288	1728	4252
289	1732	4240
290	1736	4230
291	1740	4220
292	1744	4209
293	1748	4199
